NME_AREA_CIENCIA,MONTO_FINANCIADO_AP,AREA_TEMATICA
No disponible,399999391,SALUD MENTAL Y CONSTRUCCION DE PAZ
No disponible,299675097,SALUD MENTAL Y CONSTRUCCION DE PAZ
No disponible,399215097,SALUD MENTAL Y CONSTRUCCION DE PAZ
No disponible,355289093,DISCAPACIDAD HABILITACION REHABILITACION Y MUERTE POR CAUSAS EXTERNAS
No disponible,395145170,DISCAPACIDAD HABILITACION REHABILITACION Y MUERTE POR CAUSAS EXTERNAS
No disponible,554539785,DISCAPACIDAD HABILITACION REHABILITACION Y MUERTE POR CAUSAS EXTERNAS
No disponible,397065724,SALUD AMBIENTAL
No disponible,398465344,SALUD AMBIENTAL
No disponible,396756000,SALUD AMBIENTAL
No disponible,397761594,SALUD AMBIENTAL
No disponible,394993446,SALUD AMBIENTAL
No disponible,399672156,SALUD AMBIENTAL
No disponible,267282936,SALUD MATERNA Y PERINATAL
No disponible,390080987,SALUD MATERNA Y PERINATAL
No disponible,399952399,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,300000000,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,394197956,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,299993584,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,383034372,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,375811691,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,399959300,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,369216217,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,399952399,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,583343514,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,357419726,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,263478824,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,399505739,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,295211987,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,300000000,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,577224875,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,299991617,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,367770770,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
