NME_AREA_CIENCIA,MONTO_FINANCIADO_AP,AREA_TEMATICA
No disponible,340612086,SISTEMAS Y SERVICIOS DE ATENCION DE SALUD
No disponible,349977076,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,325365600,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349745550,SALUD AMBIENTAL
No disponible,334128900,SALUD AMBIENTAL
No disponible,123360300,SALUD MATERNA Y PERINATAL
No disponible,349970250,SALUD MATERNA Y PERINATAL
No disponible,350000000,SALUD MATERNA Y PERINATAL
No disponible,349633200,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349992720,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,226444202,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349183800,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349999461,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349408500,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349121039,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349430467,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349352325,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349970250,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349615321,RESISTENCIA ANTIMICROBIANA.
No disponible,349770848,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,349999387,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,247889040,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,349970250,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,349172577,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,349325182,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,348728688,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,347204287,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,349493260,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,332220562,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,349521524,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,349997312,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,345943248,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,335769635,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,447381645,No disponible
No disponible,220349808,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,339567963,DISCAPACIDAD HABILITACION REHABILITACION E INCIDENTE VIAL
No disponible,303039459,DISCAPACIDAD HABILITACION REHABILITACION E INCIDENTE VIAL
No disponible,348466733,SISTEMAS Y SERVICIOS DE ATENCION DE SALUD
No disponible,349303780,SISTEMAS Y SERVICIOS DE ATENCION DE SALUD
No disponible,347931843,SISTEMAS Y SERVICIOS DE ATENCION DE SALUD
No disponible,337614880,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,449999992,No disponible
No disponible,449959094,No disponible
No disponible,450000000,No disponible
No disponible,450000000,No disponible
No disponible,69999882,No disponible
No disponible,415042854,No disponible
No disponible,431343400,No disponible
No disponible,399917459,No disponible
No disponible,335281017,No disponible
No disponible,335729283,No disponible
No disponible,331817210,No disponible
No disponible,335770638,No disponible
No disponible,359623632,No disponible
No disponible,335292328,No disponible
No disponible,335175010,No disponible
No disponible,305774610,No disponible
No disponible,335381216,No disponible
No disponible,299626954,No disponible
No disponible,306658475,No disponible
No disponible,335650421,No disponible
No disponible,293155130,No disponible
No disponible,335774080,No disponible
No disponible,335741510,No disponible
No disponible,335756424,No disponible
No disponible,335774275,No disponible
No disponible,335714494,No disponible
No disponible,335759193,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,107323830,No disponible
No disponible,427539173,DIVERSIFICACION Y SOFISTICACION DE PRODUCTOS
No disponible,216687223,SALUD AMBIENTAL
No disponible,214938525,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,84139721,SALUD AMBIENTAL
No disponible,343589989,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,95022464,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,69926700,No disponible
No disponible,69999882,No disponible
No disponible,69432300,No disponible
No disponible,550000000,No disponible
No disponible,549950546,No disponible
No disponible,549904000,No disponible
No disponible,548081086,No disponible
No disponible,549655725,No disponible
No disponible,549850042,No disponible
No disponible,549999998,No disponible
No disponible,545952324,No disponible
No disponible,543732090,No disponible
No disponible,241999945,No disponible
No disponible,241841738,No disponible
No disponible,241910950,No disponible
No disponible,241541208,No disponible
No disponible,195071700,No disponible
No disponible,348089468,No disponible
No disponible,349916750,No disponible
No disponible,347492130,No disponible
No disponible,344428292,No disponible
No disponible,348594230,No disponible
No disponible,327978368,No disponible
No disponible,241161522,No disponible
No disponible,337858419,No disponible
No disponible,241910950,No disponible
No disponible,241123000,No disponible
No disponible,241923516,No disponible
No disponible,349998984,No disponible
No disponible,229764288,No disponible
No disponible,241952801,No disponible
No disponible,238734642,No disponible
No disponible,349560179,No disponible
No disponible,326277360,No disponible
No disponible,241359906,No disponible
No disponible,349516577,No disponible
No disponible,349950965,No disponible
No disponible,241463729,No disponible
No disponible,241988097,No disponible
No disponible,349861645,No disponible
No disponible,241999944,No disponible
No disponible,241999669,No disponible
No disponible,349988398,No disponible
No disponible,348501015,No disponible
No disponible,241921971,No disponible
No disponible,349806540,No disponible
No disponible,216854259,No disponible
No disponible,240808850,No disponible
No disponible,310758028,No disponible
No disponible,349806540,No disponible
No disponible,289993355,No disponible
No disponible,237723969,No disponible
No disponible,349685000,No disponible
No disponible,174629843,No disponible
No disponible,313700454,No disponible
No disponible,312919253,No disponible
No disponible,242000000,No disponible
No disponible,241994137,No disponible
No disponible,349999999,No disponible
No disponible,277949620,No disponible
No disponible,312811000,No disponible
No disponible,313812924,No disponible
No disponible,310792200,No disponible
No disponible,241782200,No disponible
No disponible,239946534,No disponible
No disponible,349273000,No disponible
No disponible,313828640,No disponible
No disponible,230176429,No disponible
No disponible,241986140,No disponible
No disponible,349999999,No disponible
No disponible,241999999,No disponible
No disponible,313999311,No disponible
No disponible,307807059,No disponible
No disponible,349999999,No disponible
No disponible,230118480,No disponible
No disponible,241910950,No disponible
No disponible,240592838,No disponible
No disponible,349976367,No disponible
No disponible,241910950,No disponible
No disponible,349765276,No disponible
No disponible,218860644,No disponible
No disponible,241921971,No disponible
No disponible,239816960,No disponible
No disponible,241786919,No disponible
No disponible,348084769,No disponible
No disponible,241658600,No disponible
No disponible,241955739,No disponible
No disponible,349971855,No disponible
No disponible,241989127,No disponible
No disponible,236648422,No disponible
No disponible,241910103,No disponible
No disponible,349858821,No disponible
No disponible,241997134,No disponible
No disponible,241910950,No disponible
No disponible,241910950,No disponible
No disponible,323356878,DISCAPACIDAD HABILITACION Y REHABILITACION E INCIDENTE VIAL
No disponible,482661373,SISTEMAS Y SERVICIOS EN SALUD MENTAL.
No disponible,376349200,No disponible
No disponible,426813293,No disponible
No disponible,442612804,No disponible
No disponible,439604000,No disponible
No disponible,443990369,No disponible
No disponible,443121501,No disponible
No disponible,443415000,No disponible
No disponible,197015060,No disponible
No disponible,444000000,No disponible
No disponible,443651900,No disponible
No disponible,443987252,No disponible
No disponible,444000000,No disponible
No disponible,555960965,SISTEMAS DE DIAGNOSTICO RAPIDO PARA LA INFECCION POR SARS-COV-2
No disponible,552904990,ESTRATEGIAS DE PREVENCION DE LA INFECCION POR SARS-COV-2 Y TRATAMIENTO DE COVID-19
No disponible,569989187,SALUD PUBLICA RELACIONADA CON LA INTERVENCION FRENTE A RIESGOS EPIDEMIOLOGICOS.
No disponible,518356656,SISTEMAS DE MONITOREO DE DATOS EN TIEMPO REAL EN RELACION CON LA ENFERMEDAD PRODUCIDA POR SARS-COV-2 Y OTROS AGENTES CAUSALES DE IRA QUE HABILITEN LA POSIBILIDAD DE MODELAR ESCENARIOS EPIDEMIOLOGICOS
No disponible,225108274,No disponible
No disponible,94350000,Agua biodiversidad y bosques
23 OTRAS CIENCIAS DE LA INGENIERIA,233000000,MINERIA
No disponible,120869446,No disponible
15 CIENCIAS BIOLOGICAS,309900000,Basicas biomedicas
No disponible,173415218,No disponible
No disponible,138044740,No disponible
No disponible,416850000,USO RACIONAL DE ENERGIA
No disponible,216496500,No disponible
No disponible,201930000,No disponible
5 CIENCIAS SOCIALES,72405233,Desarrollo humano y dimension etica
63 OTRAS HUMANIDADES,133240000,Conflicto justicia y democracia
No disponible,232000000,SECTOR ELECTRICO
No disponible,126200000,No disponible
No disponible,167713363,No disponible
No disponible,173690000,No disponible
No disponible,75876651,No disponible
No disponible,126500000,No disponible
No disponible,132808200,HABITAT Y DESARROLLO TERRITORIAL
No disponible,393049060,TELECOMUNICACIONES
No disponible,217700000,Ambiental
No disponible,185709000,No disponible
No disponible,450000000,No disponible
No disponible,152350000,No disponible
No disponible,178800000,No disponible
No disponible,185700000,Agua biodiversidad y bosques
No disponible,118100000,No disponible
No disponible,191000000,No disponible
No disponible,58000000,Desarrollo tecnologico
No disponible,194225000,HABITAT Y DESARROLLO TERRITORIAL
42 MEDICINA VETERINARIA,87697500,No disponible
No disponible,169000000,No disponible
No disponible,64715000,No disponible
No disponible,233415000,No disponible
No disponible,240000000,No disponible
No disponible,134000000,No disponible
No disponible,240000000,Caracterizacion y valoracion de la biodiversidad
No disponible,315002814,Industrial
No disponible,146100000,No disponible
51 PSICOLOGIA,54000000,Desarrollo humano y dimension etica
No disponible,13880000,No disponible
23 OTRAS CIENCIAS DE LA INGENIERIA,163116000,No disponible
No disponible,143170000,No disponible
No disponible,223775000,No disponible
No disponible,173318512,No disponible
No disponible,204822136,No disponible
No disponible,275867100,Estructura y funcion de ecosistemas
No disponible,101840000,No disponible
No disponible,76240394,No disponible
No disponible,44770000,No disponible
No disponible,166578590,Agua biodiversidad y bosques
22 INGENIERIA ELECTRICA ELECTRONICA,171845000,No disponible
11 MATEMATICAS E INFORMATICA,33870200,No disponible
23 OTRAS CIENCIAS DE LA INGENIERIA,238842140,OTRAS
No disponible,120468600,No disponible
22 INGENIERIA ELECTRICA ELECTRONICA,69117500,No disponible
No disponible,190200000,INFORMATICA
No disponible,138080000,Desarrollo tecnologico
No disponible,66088000,No disponible
5 CIENCIAS SOCIALES,62038960,Desarrollo humano y dimension etica
No disponible,219600600,No disponible
5 CIENCIAS SOCIALES,182593000,Identidades culturales
No disponible,210000000,Caracterizacion y valoracion de la biodiversidad
No disponible,147200000,No disponible
No disponible,299359200,OTRAS
41 AGRICULTURA SELVICULTURA PESCA Y AFINES,22082000,No disponible
23 OTRAS CIENCIAS DE LA INGENIERIA,603996,No disponible
11 MATEMATICAS E INFORMATICA,357943712,INFORMATICA
23 OTRAS CIENCIAS DE LA INGENIERIA,1221866,No disponible
N. A.,150000000,No disponible
No disponible,150000000,No disponible
No disponible,162630000,No disponible
23 OTRAS CIENCIAS DE LA INGENIERIA,380205000,No disponible
No disponible,72170000,No disponible
23 OTRAS CIENCIAS DE LA INGENIERIA,281276400,No disponible
23 OTRAS CIENCIAS DE LA INGENIERIA,453278000,AUTOMATIZACION Y MODERNIZACION DE PROCESOS
11 MATEMATICAS E INFORMATICA,74758378,INFORMATICA
52 ECONOMIA,84460000,No disponible
23 OTRAS CIENCIAS DE LA INGENIERIA,254676000,No disponible
No disponible,87476000,No disponible
52 ECONOMIA,543332800,No disponible
No disponible,217155000,Estructura y funcion de ecosistemas
22 INGENIERIA ELECTRICA ELECTRONICA,146562000,No disponible
No disponible,164780000,No disponible
No disponible,191956442,No disponible
23 OTRAS CIENCIAS DE LA INGENIERIA,139724458,No disponible
No disponible,341445000,No disponible
No disponible,105000000,No disponible
No disponible,141800000,No disponible
No disponible,150000000,PRODUCCION LIMPIA
No disponible,236362000,No disponible
No disponible,183000000,Agua biodiversidad y bosques
No disponible,29200000,No disponible
No disponible,266111037,No disponible
No disponible,74600000,No disponible
No disponible,180600000,No disponible
12 CIENCIAS FISICAS,93615023,Matematicas
No disponible,460460000,No disponible
No disponible,111732831,No disponible
No disponible,125400000,No disponible
No disponible,205294000,No disponible
No disponible,92632123,No disponible
No disponible,325643000,No disponible
No disponible,63428000,No disponible
No disponible,53000000,No disponible
11 MATEMATICAS E INFORMATICA,38456500,No disponible
No disponible,125266000,Agua biodiversidad y bosques
41 AGRICULTURA SELVICULTURA PESCA Y AFINES,152280000,Evaluacion de recursos aprovechables
14 CIENCIAS DE LA TIERRA Y DEL MEDIO AMBIENTE,383000000,Estructura y funcion de ecosistemas
No disponible,167936000,No disponible
No disponible,66160000,No disponible
No disponible,175100000,No disponible
No disponible,156800000,No disponible
52 ECONOMIA,213066070,Identidades culturales
No disponible,90571374,No disponible
12 CIENCIAS FISICAS,571900000,No disponible
No disponible,68400000,No disponible
41 AGRICULTURA SELVICULTURA PESCA Y AFINES,152798500,Desarrollo tecnologico
15 CIENCIAS BIOLOGICAS,172260000,Caracterizacion y valoracion de la biodiversidad
No disponible,174500000,No disponible
No disponible,111135000,No disponible
No disponible,87283896,No disponible
No disponible,89000000,No disponible
2 INGENIERIA Y TECNOLOGIA,93433000,TELECOMUNICACIONES
No disponible,248882000,No disponible
No disponible,278736040,No disponible
No disponible,401802060,No disponible
No disponible,145141200,No disponible
No disponible,486990063,No disponible
No disponible,477295012,No disponible
No disponible,127000000,PRODUCCION LIMPIA
No disponible,99920000,TELECOMUNICACIONES
No disponible,100000000,No disponible
No disponible,14950000,No disponible
No disponible,376511350,No disponible
No disponible,539466630,No disponible
No disponible,500210720,No disponible
No disponible,168750000,No disponible
No disponible,93200000,No disponible
No disponible,202221800,No disponible
No disponible,238301800,No disponible
No disponible,249452800,INFORMATICA
No disponible,301118300,INFORMATICA
2 INGENIERIA Y TECNOLOGIA,100701300,DISENO Y DESARROLLO DE NUEVOS PRODUCTOS
No disponible,247081340,No disponible
No disponible,363571229,No disponible
No disponible,584090760,No disponible
No disponible,124704451,No disponible
2 INGENIERIA Y TECNOLOGIA,483732000,INFORMATICA
No disponible,292020000,AUTOPARTES
No disponible,273900000,No disponible
No disponible,219683200,No disponible
No disponible,236500000,No disponible
No disponible,107000000,No disponible
No disponible,189918840,No disponible
No disponible,228000000,No disponible
No disponible,164000000,No disponible
No disponible,308302240,SOFTWARE Y TECNOLOGIAS DE INFORMACION Y COMUNICACIONES
No disponible,132116943,No disponible
No disponible,587109272,No disponible
No disponible,521166250,No disponible
No disponible,130980000,INFORMATICA
No disponible,71860000,NUEVAS TECNOLOGIAS ELECTRONICAS
No disponible,380605500,No disponible
No disponible,40400000,No disponible
No disponible,570853809,No disponible
No disponible,127550280,No disponible
No disponible,56411600,No disponible
No disponible,92996500,No disponible
No disponible,271163793,No disponible
No disponible,356902040,No disponible
23 OTRAS CIENCIAS DE LA INGENIERIA,357600000,No disponible
No disponible,268323500,INFORMATICA
No disponible,447700000,No disponible
No disponible,172000000,No disponible
No disponible,365302560,INFORMATICA
No disponible,81335840,No disponible
No disponible,256000000,No disponible
No disponible,437600000,AUTOPARTES
No disponible,15000000,No disponible
No disponible,15000000,No disponible
No disponible,154000000,No disponible
No disponible,130173921,No disponible
No disponible,298970000,NUEVAS TECNOLOGIAS ELECTRONICAS
No disponible,241147200,No disponible
No disponible,276250000,No disponible
No disponible,225000000,No disponible
No disponible,195222000,INFORMATICA
No disponible,8760000,No disponible
No disponible,329748000,APLICACION ETI EN AREAS ESTRATEGICAS
No disponible,323459400,No disponible
No disponible,289493600,No disponible
No disponible,423735200,No disponible
No disponible,425516667,No disponible
No disponible,356335375,No disponible
No disponible,453720480,No disponible
No disponible,337940680,No disponible
No disponible,357068910,No disponible
No disponible,63835425,No disponible
No disponible,406993180,No disponible
No disponible,251832900,TELECOMUNICACIONES
No disponible,527014000,No disponible
No disponible,82310000,OTRAS
No disponible,91400000,INFORMATICA
No disponible,431875000,TELECOMUNICACIONES
No disponible,400450600,No disponible
No disponible,380547200,No disponible
No disponible,307643235,No disponible
No disponible,272200000,No disponible
No disponible,99040000,No disponible
No disponible,289310000,No disponible
No disponible,232096000,No disponible
2 INGENIERIA Y TECNOLOGIA,96150000,INFORMATICA
No disponible,100000000,No disponible
No disponible,262733337,INFORMATICA
No disponible,96862500,No disponible
41 AGRICULTURA SELVICULTURA PESCA Y AFINES,79625000,No disponible
No disponible,98090000,No disponible
No disponible,82000000,No disponible
No disponible,201600000,No disponible
No disponible,526790000,No disponible
No disponible,361404000,No disponible
No disponible,149700000,No disponible
No disponible,332725800,No disponible
No disponible,588127316,No disponible
No disponible,443442776,Desarrollo tecnologico
No disponible,447700000,No disponible
No disponible,286300860,No disponible
No disponible,298400000,No disponible
No disponible,308772870,No disponible
No disponible,469535447,No disponible
No disponible,100160000,No disponible
No disponible,102766586,No disponible
No disponible,100000000,TELECOMUNICACIONES
No disponible,131089918,No disponible
No disponible,66627257,No disponible
No disponible,105050000,No disponible
No disponible,91780000,No disponible
No disponible,203087669,No disponible
No disponible,433354000,No disponible
No disponible,379540000,No disponible
No disponible,15000000,No disponible
No disponible,291182000,No disponible
No disponible,352828000,No disponible
No disponible,217618338,Desarrollo tecnologico
No disponible,382000000,No disponible
No disponible,560000000,INFORMATICA
No disponible,582840000,No disponible
No disponible,266661320,No disponible
No disponible,44356000,No disponible
No disponible,117076000,DISENO Y DESARROLLO DE NUEVOS PRODUCTOS
No disponible,191225000,No disponible
No disponible,135097786,No disponible
No disponible,280066000,APLICACION ETI EN AREAS ESTRATEGICAS
No disponible,105000490,No disponible
No disponible,80000000,No disponible
No disponible,80000000,No disponible
No disponible,103000000,ESTUDIOS DE LOS PROCESOS TERRESTRES
No disponible,100168000,No disponible
61 HISTORIA,150000000,Estudios sociales de la ciencia
No disponible,61578000,No disponible
No disponible,336000000,No disponible
No disponible,183062000,No disponible
No disponible,164598799,No disponible
No disponible,160991000,No disponible
No disponible,102639000,PRODUCCION LIMPIA
No disponible,155562829,No disponible
No disponible,170340000,No disponible
No disponible,217803912,No disponible
No disponible,563370500,No disponible
No disponible,207607920,No disponible
No disponible,137700000,INFORMATICA
No disponible,59503720,ELECTRONICA TELECOMUNICACIONES E INFORMATICA
No disponible,487923360,No disponible
No disponible,142800000,No disponible
No disponible,239700000,No disponible
No disponible,255090000,No disponible
No disponible,214699408,No disponible
No disponible,51600000,MINERIA
No disponible,326818000,No disponible
No disponible,199232000,No disponible
No disponible,149688240,No disponible
No disponible,434437912,No disponible
No disponible,222020626,No disponible
No disponible,136027230,No disponible
No disponible,326000000,No disponible
No disponible,216340000,No disponible
No disponible,456591000,No disponible
No disponible,161740060,No disponible
No disponible,113770800,No disponible
No disponible,366368200,No disponible
No disponible,375567972,AUTOPARTES
No disponible,587089267,No disponible
No disponible,502046875,No disponible
No disponible,112000000,No disponible
No disponible,492727851,No disponible
No disponible,301928280,No disponible
No disponible,387212400,No disponible
No disponible,416150000,No disponible
No disponible,102882960,No disponible
No disponible,54620000,No disponible
No disponible,41959905,No disponible
No disponible,111304420,No disponible
No disponible,499274000,Desarrollo tecnologico
No disponible,388500000,AUTOMATIZACION Y MODERNIZACION DE PROCESOS
No disponible,100000000,No disponible
No disponible,131973000,No disponible
No disponible,93356000,ENERGIA Y MINERIA
No disponible,72275000,C. Y T. DE LA AGROPECUARIAS
No disponible,15000000,No disponible
2 INGENIERIA Y TECNOLOGIA,91750000,INFORMATICA
No disponible,279712300,No disponible
No disponible,355164000,No disponible
No disponible,337000000,No disponible
No disponible,82400000,No disponible
No disponible,102867000,ASEGURAMIENTO DE CALIDAD Y METROLOGIA
No disponible,102474000,DISENO Y DESARROLLO DE NUEVOS PRODUCTOS
No disponible,68772000,No disponible
No disponible,97200000,No disponible
2 INGENIERIA Y TECNOLOGIA,80732213,APLICACION ETI EN AREAS ESTRATEGICAS
No disponible,115293000,No disponible
No disponible,90090000,No disponible
No disponible,74940000,No disponible
2 INGENIERIA Y TECNOLOGIA,99960000,TELECOMUNICACIONES
No disponible,99300000,No disponible
No disponible,14984500,Calidad ambiental
No disponible,92295842,NUEVAS TECNOLOGIAS ELECTRONICAS
No disponible,68850000,No disponible
No disponible,100000000,No disponible
No disponible,100000000,No disponible
No disponible,99400000,No disponible
2 INGENIERIA Y TECNOLOGIA,99900000,TELECOMUNICACIONES
No disponible,96740000,TELECOMUNICACIONES
No disponible,474175975,No disponible
No disponible,97900000,No disponible
No disponible,102518025,No disponible
No disponible,103000000,No disponible
No disponible,15000000,No disponible
41 AGRICULTURA SELVICULTURA PESCA Y AFINES,14908220,Desarrollo tecnologico
No disponible,11820000,Agua biodiversidad y bosques
No disponible,96712000,No disponible
No disponible,82400000,No disponible
No disponible,102000000,No disponible
No disponible,97000000,No disponible
No disponible,79300000,No disponible
No disponible,103000000,PRODUCCION LIMPIA
No disponible,76656000,No disponible
No disponible,99564400,TELECOMUNICACIONES
No disponible,305422751,No disponible
No disponible,105343200,No disponible
No disponible,531964098,No disponible
No disponible,99300000,TELECOMUNICACIONES
No disponible,15000000,No disponible
No disponible,233000000,No disponible
No disponible,15000000,No disponible
No disponible,422502250,No disponible
No disponible,70724108,No disponible
No disponible,102589576,No disponible
No disponible,100000000,No disponible
No disponible,221710478,No disponible
No disponible,324357399,No disponible
No disponible,367528571,No disponible
No disponible,102764416,No disponible
No disponible,99500000,TELECOMUNICACIONES
No disponible,207290000,No disponible
No disponible,233900000,No disponible
No disponible,390374200,No disponible
No disponible,111400000,No disponible
No disponible,14300000,No disponible
No disponible,71500000,No disponible
No disponible,363381940,No disponible
No disponible,249536516,No disponible
No disponible,181612000,No disponible
No disponible,141583200,No disponible
No disponible,326548386,No disponible
No disponible,238260000,No disponible
No disponible,212604000,No disponible
No disponible,531719000,AUTOMATIZACION Y MODERNIZACION DE PROCESOS
No disponible,316200000,No disponible
No disponible,454500000,No disponible
No disponible,233193000,INFORMATICA
No disponible,121900000,No disponible
No disponible,63125150,No disponible
No disponible,281047800,No disponible
No disponible,383613244,No disponible
No disponible,487671800,No disponible
No disponible,373470660,No disponible
No disponible,294437000,No disponible
No disponible,362385804,No disponible
No disponible,273448000,INFORMATICA
No disponible,528735880,No disponible
No disponible,185000000,No disponible
No disponible,15000000,No disponible
No disponible,280948800,No disponible
No disponible,441428445,No disponible
No disponible,347600000,No disponible
No disponible,326400000,No disponible
33 CIENCIAS DE LA SALUD,216929440,No disponible
No disponible,271663000,No disponible
61 HISTORIA,400000000,Estudios sociales de la ciencia
No disponible,494151000,No disponible
No disponible,533594160,No disponible
2 INGENIERIA Y TECNOLOGIA,282618000,NUEVAS TECNOLOGIAS ELECTRONICAS
No disponible,158320800,No disponible
No disponible,89820000,No disponible
No disponible,80000000,No disponible
No disponible,220333496,No disponible
No disponible,199870000,No disponible
No disponible,199800000,No disponible
No disponible,15354000,No disponible
No disponible,120449040,No disponible
No disponible,184114000,No disponible
No disponible,297672819,No disponible
No disponible,200000000,No disponible
No disponible,163350000,No disponible
No disponible,176000000,DISENO Y DESARROLLO DE NUEVOS PRODUCTOS
No disponible,199320000,No disponible
No disponible,199400000,No disponible
No disponible,200000000,Evaluacion de recursos aprovechables
33 CIENCIAS DE LA SALUD,224723192,ENFERMEDADES NO TRANSMISIBLES
No disponible,200000000,No disponible
No disponible,199672000,SOFTWARE Y TECNOLOGIAS DE INFORMACION Y COMUNICACIONES
No disponible,138600000,No disponible
No disponible,103800400,CULTURA ESCOLAR
No disponible,142150000,INFORMATICA
No disponible,199774000,No disponible
No disponible,133800000,No disponible
No disponible,77000000,No disponible
No disponible,37500000,No disponible
No disponible,199680000,No disponible
No disponible,73400000,No disponible
No disponible,199950000,No disponible
No disponible,192650000,No disponible
No disponible,556000000,No disponible
No disponible,200000000,No disponible
No disponible,198369750,ESTUDIOS DE LOS PROCESOS TERRESTRES
No disponible,175780000,No disponible
No disponible,198107520,No disponible
No disponible,50600000,Estudios sectoriales y teoria economica
No disponible,200000000,No disponible
No disponible,192610000,No disponible
No disponible,358814048,No disponible
No disponible,141087727,No disponible
No disponible,195000000,No disponible
No disponible,196000000,No disponible
No disponible,123143958,No disponible
No disponible,39540000,No disponible
53 CIENCIAS DE LA EDUCACION,49805440,Evaluacion educativa
No disponible,155321000,No disponible
No disponible,200000000,No disponible
No disponible,163900000,No disponible
No disponible,159079900,Uso sostenible de la biodiversidad nativa
No disponible,76975518,No disponible
No disponible,200000000,No disponible
No disponible,364173906,Basicas biomedicas
No disponible,200000000,No disponible
No disponible,199476000,No disponible
No disponible,161722800,No disponible
No disponible,200000000,No disponible
No disponible,156500000,No disponible
No disponible,199840490,No disponible
No disponible,199788846,Sistema politico y relaciones de poder
No disponible,81316186,CONCEPTUALIZACION DEL SISTEMA NACIONAL DE INNOVACION EDUCATIVA
No disponible,200000000,Modelacion
No disponible,146480000,No disponible
No disponible,189215100,No disponible
No disponible,199300000,No disponible
No disponible,303800000,Basicas biomedicas
No disponible,103000000,Desarrollo humano y dimension etica
No disponible,246816000,APLICACION ETI EN AREAS ESTRATEGICAS
No disponible,184160000,DISENO Y DESARROLLO DE NUEVOS PRODUCTOS
No disponible,160000000,ESTUDIOS DE LOS PROCESOS TERRESTRES
No disponible,36930000,No disponible
No disponible,178000000,No disponible
No disponible,162991500,No disponible
No disponible,172784216,PROCESOS SUPERFICIALES DE LA TIERRA
No disponible,75000000,No disponible
No disponible,75577498,Desarrollo humano y dimension etica
No disponible,102966000,Calidad ambiental
No disponible,199255800,No disponible
No disponible,194580000,No disponible
No disponible,137239600,No disponible
No disponible,200000000,No disponible
No disponible,200000000,No disponible
No disponible,100800000,Conflicto justicia y democracia
No disponible,192000000,INFORMATICA
No disponible,141000000,No disponible
No disponible,432300000,No disponible
No disponible,271362666,ENFERMEDADES TRANSMISIBLES
33 CIENCIAS DE LA SALUD,251834000,SALUD Y COMUNIDAD
